obrazek,uhel,corrAns,zpetnavazba,pauza
bva3-225l.jpg,225,left,1,1
bva3-090r.jpg,90,right,1,0
bva3-270l.jpg,270,left,1,0
bva3-225r.jpg,180,right,1,0
bva3-315r.jpg,315,right,1,0
bva3-045r.jpg,45,right,0,1
bva3-315l.jpg,315,left,0,0
bva3-090l.jpg,90,left,0,0
bva3-045l.jpg,45,left,0,0
bva3-135l.jpg,135,left,0,0
bva3-090l.jpg,90,left,0,0
bva3-180r.jpg,180,right,0,0
bva3-090r.jpg,90,right,0,0
bva3-180l.jpg,180,left,0,0
bva3-225r.jpg,225,right,0,0
bva3-135r.jpg,135,right,0,0
bva3-315r.jpg,315,right,0,0
bva3-225r.jpg,225,right,0,0
bva3-225l.jpg,225,left,0,0
bva3-270r.jpg,270,right,0,0
bva3-045l.jpg,45,left,0,0
bva3-270l.jpg,270,left,0,0
bva3-090r.jpg,90,right,0,0
bva3-315r.jpg,315,right,0,0
bva3-135r.jpg,135,right,0,0
bva3-180l.jpg,180,left,0,0
bva3-135l.jpg,135,left,0,0
bva3-225l.jpg,225,left,0,0
bva3-180r.jpg,180,right,0,0
bva3-270l.jpg,270,left,0,0
bva3-045r.jpg,45,right,0,0
bva3-270r.jpg,270,right,0,0
bva3-315l.jpg,315,left,0,0
bva3-045l.jpg,45,left,0,1
bva3-270l.jpg,270,left,0,0
bva3-180r.jpg,180,right,0,0
bva3-225l.jpg,225,left,0,0
bva3-270r.jpg,270,right,0,0
bva3-270r.jpg,270,right,0,0
bva3-045r.jpg,45,right,0,0
bva3-090l.jpg,90,left,0,0
bva3-270l.jpg,270,left,0,0
bva3-225r.jpg,225,right,0,0
bva3-135l.jpg,135,left,0,0
bva3-180r.jpg,180,right,0,0
bva3-180l.jpg,180,left,0,0
bva3-315r.jpg,315,right,0,0
bva3-135r.jpg,135,right,0,0
bva3-315r.jpg,315,right,0,0
bva3-135l.jpg,135,left,0,0
bva3-225r.jpg,225,right,0,0
bva3-315l.jpg,315,left,0,0
bva3-045r.jpg,45,right,0,0
bva3-180l.jpg,180,left,0,0
bva3-225l.jpg,225,left,0,0
bva3-090l.jpg,90,left,0,0
bva3-135r.jpg,135,right,0,0
bva3-045l.jpg,45,left,0,0
bva3-315l.jpg,315,left,0,0
bva3-090r.jpg,90,right,0,0
bva3-090r.jpg,90,right,0,0  