obrazek,block,pauza,corrans
P2181341.JPG,o,1,0
P2181335.JPG,o,0,0
P2181315.JPG,o,0,0
P2181315.JPG,o,0,1
P2181340.jpg,o,0,0
P2181349.JPG,o,0,0
P2181312.JPG,o,0,0
P2181312.JPG,o,0,1
P2181360.JPG,o,0,0
P2181325.jpg,o,0,0
P2181325.jpg,o,0,1
P2181358.jpg,o,0,0
P2181326.jpg,o,0,0
P2181326.jpg,o,0,1
P2181327.jpg,o,0,0
P2181321.jpg,o,0,0
P2181321.jpg,o,0,1
P2181346.JPG,o,0,0
P2181334.jpg,o,0,0
P2181355.JPG,o,0,0
m4029.jpg,f,1,0
f4011.jpg,f,0,0
m4048.jpg,f,0,0
m4048.jpg,f,0,1
m4042.jpg,f,0,0
f4029.jpg,f,0,0
f4007_1.jpg,f,0,0
f4007_1.jpg,f,0,1
f4027.jpg,f,0,0
f4030.jpg,f,0,0
f4030.jpg,f,0,1
f4016.jpg,f,0,0
f4008.jpg,f,0,0
f4008.jpg,f,0,1
m4017.jpg,f,0,0
m4031.jpg,f,0,0
m4031.jpg,f,0,1
f4009.jpg,f,0,0
m4068.jpg,f,0,0
m4001.jpg,f,0,0
rio_de_janiero_jesus_view_fake_1000.jpg,s,1,0
sydney_opera_house_fake_1000.jpg,s,0,0
white_house_washington_fake_1000.jpg,s,0,0
white_house_washington_fake_1000.jpg,s,0,1
castle.jpg,s,0,0
pyramids_sphinx_fake_1000.jpg,s,0,0
bratislava_castle_1000.jpg,s,0,0
bratislava_castle_1000.jpg,s,0,1
karlstejn_fake_1000.jpg,s,0,0
venezia_fake_1000.jpg,s,0,0
venezia_fake_1000.jpg,s,0,1
parthenon_fake_1000.JPG,s,0,0
vatican_fake_1000.JPG,s,0,0
vatican_fake_1000.JPG,s,0,1
vatican_1000.jpg,s,0,0
wetland-scene-in-the-catskills-mountains.jpg,s,0,0
wetland-scene-in-the-catskills-mountains.jpg,s,0,1
ceska-krajina-02-ceske-svycarsko_5284029.jpg,s,0,0
tower_bridge_fake_1000.jpg,s,0,0
prague_castle_fake_1000.jpg,s,0,0